county,ward_names,ballots_cast,brian_hagedorn,lisa_neubauer,scatter
ADAMS,Town of ADAMS Wards 1-3,229,128,101,0
ADAMS,Town of BIG FLATS Wards 1-2,227,114,113,0
ADAMS,Town of COLBURN Ward 1,38,20,18,0
ADAMS,Town of DELL PRAIRIE Wards 1-3,246,119,127,0
ADAMS,Town of EASTON Wards 1-2,217,141,76,0
ADAMS,Town of JACKSON Wards 1-2,241,141,100,0
ADAMS,Town of LEOLA Ward 1,70,49,21,0
ADAMS,Town of LINCOLN Ward 1,77,43,34,0
ADAMS,Town of MONROE Ward 1,106,72,33,1
ADAMS,Town of NEW CHESTER Wards 1-3,145,75,70,0
ADAMS,Town of NEW HAVEN Ward 1,146,70,76,0
ADAMS,Town of PRESTON Wards 1-2,263,139,124,0
ADAMS,Town of QUINCY Wards 1-3,408,222,186,0
ADAMS,Town of RICHFIELD Ward 1,41,29,12,0
ADAMS,Town of ROME Wards 1-5,989,570,419,0
ADAMS,Town of SPRINGVILLE Wards 1-2,246,141,105,0
ADAMS,Town of STRONGS PRAIRIE Wards 1-3,241,139,102,0
ADAMS,Village of FRIENDSHIP Ward 1,123,61,62,0
ADAMS,City of ADAMS Ward 1,66,37,29,0
ADAMS,City of ADAMS Ward 2,94,45,49,0
ADAMS,City of ADAMS Wards 3-4,97,46,51,0
ADAMS,"CITY OF WISCONSIN DELLS Wards 5,9",3,0,3,0
ASHLAND,Town of AGENDA Ward 1,108,62,46,0
ASHLAND,Town of ASHLAND Ward 1,154,60,93,1
ASHLAND,Town of CHIPPEWA Ward 1,147,77,70,0
ASHLAND,Town of GINGLES Ward 1,163,77,85,1
ASHLAND,Town of GORDON Wards 1-2,75,38,37,0
ASHLAND,Town of JACOBS Ward 1,205,117,88,0
ASHLAND,Town of LA POINTE Ward 1,179,37,142,0
ASHLAND,Town of MARENGO Wards 1-2,129,52,77,0
ASHLAND,Town of MORSE Wards 1-3,83,26,57,0
ASHLAND,Town of PEEKSVILLE Wards 1-2,48,26,22,0
ASHLAND,Town of SANBORN Wards 1-2,150,30,120,0
ASHLAND,Town of SHANAGOLDEN Ward 1,67,25,42,0
ASHLAND,Town of WHITE RIVER Wards 1-2,190,140,50,0
ASHLAND,Village of BUTTERNUT Wards 1-2,64,20,44,0
ASHLAND,"City of ASHLAND Wards 1,3,5",414,165,249,0
ASHLAND,City of ASHLAND Ward 2,86,26,60,0
ASHLAND,City of ASHLAND Ward 4,156,42,114,0
ASHLAND,City of ASHLAND Ward 6,102,23,79,0
ASHLAND,"City of ASHLAND Wards 7,9,11",313,91,221,1
ASHLAND,City of ASHLAND Ward 8,108,30,77,1
ASHLAND,City of ASHLAND Ward 10,115,34,81,0
ASHLAND,City of MELLEN Ward 1,153,64,89,0
BARRON,Town of ALMENA Wards 1-2,118,71,47,0
BARRON,Town of ARLAND Ward 1,80,43,37,0
BARRON,Town of BARRON Wards 1-2,141,109,32,0
BARRON,Town of BEAR LAKE Ward 1,112,57,55,0
BARRON,Town of CEDAR LAKE Ward 1,294,194,100,0
BARRON,Town of CHETEK Wards 1-2,311,191,120,0
BARRON,Town of CLINTON Ward 1,138,106,32,0
BARRON,Town of CRYSTAL LAKE Ward 1,125,86,39,0
BARRON,Town of CUMBERLAND Ward 1,225,138,87,0
BARRON,Town of DALLAS Ward 1,100,66,34,0
BARRON,Town of DOVRE Ward 1,133,72,61,0
